#1.5eV differential cross sections for H-H elastic collisions from Krstic and Shultz 1998,
#angle(deg),sigma(cm^2)
113.8117635,1.31E-15
114.1664243,1.34E-15
114.5205123,1.44E-15
114.8740272,1.57E-15
115.2275422,1.71E-15
115.5804842,1.82E-15
115.9328532,1.88E-15
116.2852223,1.87E-15
116.6370184,1.79E-15
116.9882415,1.67E-15
117.3388917,1.52E-15
117.6889689,1.37E-15
118.0390461,1.25E-15
118.3879774,1.18E-15
118.7369087,1.15E-15
119.085267,1.18E-15
119.4336254,1.24E-15
119.7808378,1.31E-15
120.1280502,1.38E-15
120.4741167,1.44E-15
120.8201832,1.47E-15
121.1656768,1.48E-15
121.5105974,1.47E-15
121.854945,1.45E-15
122.1987197,1.44E-15
122.5419214,1.43E-15
122.8845502,1.43E-15
123.2271789,1.44E-15
123.5686618,1.45E-15
123.9095716,1.45E-15
124.2504815,1.44E-15
124.5902455,1.41E-15
124.9294365,1.36E-15
125.2680546,1.29E-15
125.6066726,1.21E-15
125.9441448,1.13E-15
126.281044,1.05E-15
126.6173702,9.92E-16
126.9531235,9.58E-16
127.2883038,9.54E-16
127.6229111,9.80E-16
127.9569455,1.03E-15
128.2904069,1.11E-15
128.6227225,1.20E-15
128.955038,1.30E-15
129.2862076,1.39E-15
129.6168042,1.47E-15
129.9468279,1.53E-15
130.2762787,1.57E-15
130.6051564,1.59E-15
130.9328883,1.60E-15
131.2600472,1.61E-15
131.5866331,1.62E-15
131.9126461,1.65E-15
132.2380862,1.70E-15
132.5623803,1.76E-15
132.8861014,1.84E-15
133.2092496,1.93E-15
133.5318249,2.01E-15
133.8532542,2.07E-15
134.1741105,2.10E-15
134.494394,2.10E-15
134.8141044,2.06E-15
135.1326689,1.99E-15
135.4506605,1.89E-15
135.7675062,1.78E-15
136.0843518,1.67E-15
136.4000516,1.56E-15
136.7146054,1.47E-15
137.0285863,1.40E-15
137.3419942,1.34E-15
137.6548292,1.30E-15
137.9665182,1.26E-15
138.2770613,1.23E-15
138.5870315,1.21E-15
138.8964287,1.20E-15
139.2052529,1.20E-15
139.5129313,1.23E-15
139.8194637,1.27E-15
140.1254232,1.35E-15
140.4308097,1.46E-15
140.7350503,1.59E-15
141.0387179,1.73E-15
141.3412396,1.86E-15
141.6426154,1.98E-15
141.9434183,2.06E-15
142.2436481,2.12E-15
142.5427321,2.13E-15
142.8412431,2.12E-15
143.1386082,2.09E-15
143.4348274,2.06E-15
143.7304736,2.04E-15
144.0255469,2.06E-15
144.3189013,2.11E-15
144.6122557,2.19E-15
144.9038912,2.30E-15
145.1949537,2.42E-15
145.4854433,2.54E-15
145.7742141,2.62E-15
146.0624118,2.67E-15
146.3500367,2.66E-15
146.6365156,2.61E-15
146.9218485,2.51E-15
147.2066086,2.39E-15
147.4902227,2.26E-15
147.7726909,2.14E-15
148.0540131,2.06E-15
148.3347625,2.03E-15
148.6143659,2.04E-15
148.8933963,2.09E-15
149.1707079,2.17E-15
149.4474465,2.26E-15
149.7236122,2.36E-15
149.9980589,2.43E-15
150.2719328,2.48E-15
150.5446607,2.49E-15
150.8162427,2.48E-15
151.0872517,2.45E-15
151.3565419,2.42E-15
151.6252591,2.40E-15
151.8928304,2.41E-15
152.1592557,2.46E-15
152.4251082,2.53E-15
152.6898147,2.63E-15
152.9528023,2.74E-15
153.215217,2.84E-15
153.4770587,2.91E-15
153.7371815,2.93E-15
153.9961584,2.90E-15
154.2545624,2.80E-15
154.5118204,2.65E-15
154.7673596,2.46E-15
155.0223258,2.25E-15
155.2761461,2.06E-15
155.5288205,1.92E-15
155.780922,1.84E-15
156.0313045,1.85E-15
156.2805412,1.96E-15
156.5292048,2.15E-15
156.7761497,2.42E-15
157.0225215,2.73E-15
157.2671745,3.07E-15
157.5112545,3.39E-15
157.7541886,3.68E-15
157.9954038,3.89E-15
158.2360461,4.03E-15
158.4755425,4.07E-15
158.71332,4.04E-15
158.9505245,3.95E-15
159.1865831,3.82E-15
159.4209228,3.67E-15
159.6546896,3.55E-15
159.8873105,3.45E-15
160.1182125,3.42E-15
160.3485415,3.44E-15
160.5771517,3.53E-15
160.8051889,3.67E-15
161.0315072,3.85E-15
161.2566796,4.04E-15
161.4812791,4.24E-15
161.7041596,4.40E-15
161.9258943,4.52E-15
162.1464831,4.58E-15
162.3653529,4.58E-15
162.5836499,4.51E-15
162.8008009,4.40E-15
163.016233,4.25E-15
163.2310922,4.08E-15
163.4442325,3.92E-15
163.6562269,3.77E-15
163.8670753,3.64E-15
164.0767779,3.56E-15
