#10.0eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
1.06E+02,1.70E-11
1.07E+02,1.75E-11
1.07E+02,1.76E-11
1.07E+02,1.71E-11
1.08E+02,1.61E-11
1.08E+02,1.49E-11
1.08E+02,1.36E-11
1.09E+02,1.23E-11
1.09E+02,1.11E-11
1.10E+02,1.01E-11
1.10E+02,9.22E-12
1.10E+02,8.50E-12
1.11E+02,7.90E-12
1.11E+02,7.45E-12
1.11E+02,7.09E-12
1.12E+02,6.82E-12
1.12E+02,6.65E-12
1.12E+02,6.56E-12
1.13E+02,6.53E-12
1.13E+02,6.59E-12
1.13E+02,6.73E-12
1.14E+02,6.92E-12
1.14E+02,7.20E-12
1.15E+02,7.56E-12
1.15E+02,7.98E-12
1.15E+02,8.48E-12
1.16E+02,9.06E-12
1.16E+02,9.65E-12
1.16E+02,1.02E-11
1.17E+02,1.08E-11
1.17E+02,1.12E-11
1.17E+02,1.15E-11
1.18E+02,1.16E-11
1.18E+02,1.14E-11
1.18E+02,1.10E-11
1.19E+02,1.05E-11
1.19E+02,9.82E-12
1.19E+02,9.17E-12
1.20E+02,8.53E-12
1.20E+02,7.92E-12
1.20E+02,7.39E-12
1.21E+02,6.94E-12
1.21E+02,6.55E-12
1.22E+02,6.24E-12
1.22E+02,6.01E-12
1.22E+02,5.83E-12
1.23E+02,5.71E-12
1.23E+02,5.66E-12
1.23E+02,5.66E-12
1.24E+02,5.71E-12
1.24E+02,5.83E-12
1.24E+02,5.99E-12
1.25E+02,6.21E-12
1.25E+02,6.47E-12
1.25E+02,6.78E-12
1.26E+02,7.13E-12
1.26E+02,7.49E-12
1.26E+02,7.83E-12
1.27E+02,8.15E-12
1.27E+02,8.40E-12
1.27E+02,8.53E-12
1.28E+02,8.52E-12
1.28E+02,8.40E-12
1.28E+02,8.14E-12
1.29E+02,7.76E-12
1.29E+02,7.33E-12
1.29E+02,6.88E-12
1.30E+02,6.42E-12
1.30E+02,5.99E-12
1.30E+02,5.60E-12
1.31E+02,5.25E-12
1.31E+02,4.96E-12
1.31E+02,4.71E-12
1.32E+02,4.50E-12
1.32E+02,4.35E-12
1.32E+02,4.24E-12
1.33E+02,4.16E-12
1.33E+02,4.13E-12
1.33E+02,4.13E-12
1.34E+02,4.16E-12
1.34E+02,4.22E-12
1.34E+02,4.31E-12
1.34E+02,4.43E-12
1.35E+02,4.55E-12
1.35E+02,4.68E-12
1.35E+02,4.82E-12
1.36E+02,4.95E-12
1.36E+02,5.05E-12
1.36E+02,5.13E-12
1.37E+02,5.17E-12
1.37E+02,5.16E-12
1.37E+02,5.10E-12
1.38E+02,4.98E-12
1.38E+02,4.81E-12
1.38E+02,4.61E-12
1.39E+02,4.38E-12
1.39E+02,4.11E-12
1.39E+02,3.86E-12
1.40E+02,3.62E-12
1.40E+02,3.40E-12
1.40E+02,3.20E-12
1.40E+02,3.05E-12
1.41E+02,2.94E-12
1.41E+02,2.86E-12
1.41E+02,2.82E-12
1.42E+02,2.80E-12
1.42E+02,2.81E-12
1.42E+02,2.84E-12
1.43E+02,2.86E-12
1.43E+02,2.87E-12
1.43E+02,2.85E-12
1.43E+02,2.81E-12
1.44E+02,2.75E-12
1.44E+02,2.66E-12
1.44E+02,2.58E-12
1.45E+02,2.52E-12
1.45E+02,2.48E-12
1.45E+02,2.47E-12
1.45E+02,2.49E-12
1.46E+02,2.53E-12
1.46E+02,2.58E-12
1.46E+02,2.61E-12
1.47E+02,2.58E-12
1.47E+02,2.46E-12
1.47E+02,2.27E-12
1.47E+02,2.04E-12
1.48E+02,1.79E-12
1.48E+02,1.57E-12
1.48E+02,1.39E-12
1.49E+02,1.25E-12
1.49E+02,1.16E-12
1.49E+02,1.10E-12
1.49E+02,1.08E-12
1.50E+02,1.08E-12
1.50E+02,1.11E-12
1.50E+02,1.15E-12
1.51E+02,1.20E-12
1.51E+02,1.23E-12
1.51E+02,1.22E-12
1.51E+02,1.17E-12
1.52E+02,1.07E-12
1.52E+02,9.60E-13
1.52E+02,8.49E-13
1.52E+02,7.56E-13
1.53E+02,6.84E-13
1.53E+02,6.33E-13
1.53E+02,6.00E-13
1.53E+02,5.85E-13
1.54E+02,5.84E-13
1.54E+02,5.95E-13
1.54E+02,6.13E-13
1.55E+02,6.34E-13
1.55E+02,6.49E-13
1.55E+02,6.52E-13
1.55E+02,6.40E-13
1.56E+02,6.13E-13
