#0.1eV differential cross sections for O-H elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
66.89912512,9.16E-13
67.25435895,1.02E-12
67.6107387,1.16E-12
67.96711845,1.33E-12
68.32407115,1.51E-12
68.68159682,1.66E-12
69.03912248,1.70E-12
69.3972211,1.60E-12
69.75531973,1.42E-12
70.11399131,1.21E-12
70.47323584,1.03E-12
70.83248038,8.86E-13
71.19172492,7.87E-13
71.55211537,7.24E-13
71.91193287,6.91E-13
72.27289628,6.85E-13
72.63385969,7.04E-13
72.9948231,7.48E-13
73.35635947,8.16E-13
73.71789584,9.04E-13
74.08000516,9.99E-13
74.44211449,1.08E-12
74.80479677,1.11E-12
75.16747906,1.07E-12
75.53016134,9.92E-13
75.89341659,8.89E-13
76.25724479,7.93E-13
76.62107299,7.16E-13
76.98490118,6.64E-13
77.34872938,6.35E-13
77.71313054,6.30E-13
78.07810466,6.49E-13
78.44250582,6.93E-13
78.80747993,7.65E-13
79.173027,8.71E-13
79.53800112,1.01E-12
79.90354819,1.18E-12
80.26909527,1.34E-12
80.6352153,1.45E-12
81.00133533,1.48E-12
81.36745536,1.42E-12
81.73357539,1.31E-12
82.10026838,1.20E-12
82.46638841,1.11E-12
82.8330814,1.05E-12
83.19977439,1.02E-12
83.56704034,1.02E-12
83.93373332,1.06E-12
84.30099927,1.13E-12
84.66826522,1.22E-12
85.03553116,1.34E-12
85.40279711,1.46E-12
85.77063602,1.55E-12
86.13790196,1.60E-12
86.50574087,1.58E-12
86.87357977,1.51E-12
87.24084572,1.42E-12
87.60868462,1.31E-12
87.97652353,1.22E-12
88.34436243,1.14E-12
88.71220134,1.08E-12
89.08004024,1.04E-12
89.44787914,1.01E-12
89.81629101,9.94E-13
90.18412991,9.94E-13
90.55196882,1.01E-12
90.91980772,1.04E-12
91.28764662,1.08E-12
91.65548553,1.14E-12
92.02332443,1.22E-12
92.39116334,1.31E-12
92.75900224,1.42E-12
93.12684115,1.51E-12
93.49410709,1.58E-12
93.861946,1.60E-12
94.22921195,1.55E-12
94.59705085,1.46E-12
94.9643168,1.34E-12
95.33158274,1.22E-12
95.69884869,1.13E-12
96.06611464,1.06E-12
96.43280763,1.02E-12
96.80007357,1.02E-12
97.16676656,1.05E-12
97.53345955,1.11E-12
97.90015254,1.20E-12
98.26627257,1.31E-12
98.63296556,1.42E-12
98.99908559,1.48E-12
99.36463266,1.45E-12
99.73075269,1.34E-12
100.0962998,1.18E-12
100.4618468,1.01E-12
100.8273939,8.71E-13
101.192368,7.65E-13
101.5573421,6.93E-13
101.9223163,6.49E-13
102.2867174,6.30E-13
102.6511186,6.35E-13
103.0149468,6.64E-13
103.3793479,7.16E-13
103.7426032,7.93E-13
104.1064314,8.89E-13
104.4696866,9.92E-13
104.8323689,1.07E-12
105.1956241,1.11E-12
105.5577335,1.08E-12
105.9198428,9.99E-13
106.2819521,9.04E-13
106.6440614,8.16E-13
107.0050249,7.48E-13
107.3665612,7.04E-13
107.7275246,6.85E-13
108.0879151,6.91E-13
108.4483055,7.24E-13
108.808123,7.87E-13
109.1673676,8.86E-13
109.5271851,1.03E-12
109.8858567,1.21E-12
110.2445282,1.42E-12
110.6026269,1.60E-12
110.9607255,1.70E-12
111.3182511,1.66E-12
111.6757768,1.51E-12
112.0327295,1.33E-12
112.3891093,1.16E-12
112.745489,1.02E-12
113.1012958,9.16E-13
113.4565296,8.44E-13
113.8117635,7.97E-13
114.1664243,7.71E-13
114.5205123,7.61E-13
114.8740272,7.65E-13
115.2275422,7.80E-13
115.5804842,8.04E-13
115.9328532,8.35E-13
116.2852223,8.72E-13
116.6370184,9.15E-13
116.9882415,9.64E-13
117.3388917,1.02E-12
117.6889689,1.08E-12
118.0390461,1.16E-12
118.3879774,1.23E-12
118.7369087,1.32E-12
119.085267,1.40E-12
119.4336254,1.48E-12
119.7808378,1.55E-12
120.1280502,1.60E-12
120.4741167,1.63E-12
120.8201832,1.63E-12
121.1656768,1.63E-12
121.5105974,1.62E-12
121.854945,1.61E-12
122.1987197,1.61E-12
122.5419214,1.61E-12
122.8845502,1.62E-12
123.2271789,1.61E-12
123.5686618,1.59E-12
123.9095716,1.54E-12
