#3.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
172.7656828,7.48E-15
172.9094952,7.78E-15
173.0521617,8.06E-15
173.1931094,8.31E-15
173.3329111,8.54E-15
173.4709939,8.72E-15
173.6079308,8.87E-15
173.7431488,8.98E-15
173.877221,9.04E-15
174.0101472,9.07E-15
174.1413545,9.08E-15
174.2714159,9.08E-15
174.3997585,9.08E-15
174.5269551,9.11E-15
174.6524329,9.18E-15
174.7767647,9.32E-15
174.8993777,9.55E-15
175.0208447,9.87E-15
175.1405929,1.03E-14
175.2591952,1.09E-14
175.3766515,1.16E-14
175.492389,1.24E-14
175.6064076,1.33E-14
175.7192803,1.42E-14
175.8304341,1.51E-14
175.940442,1.60E-14
176.049304,1.68E-14
176.1564471,1.74E-14
176.2618713,1.78E-14
176.3661496,1.80E-14
176.4687091,1.79E-14
176.5701226,1.75E-14
176.6698173,1.70E-14
176.768366,1.62E-14
176.8657688,1.53E-14
176.9608798,1.44E-14
177.0548449,1.36E-14
177.1476641,1.29E-14
177.2387643,1.25E-14
177.3287187,1.25E-14
177.4169542,1.31E-14
177.5034708,1.42E-14
177.5888416,1.60E-14
177.6730664,1.85E-14
177.7549993,2.17E-14
177.8363593,2.57E-14
177.9154275,3.04E-14
177.9933498,3.58E-14
178.0701261,4.17E-14
178.1451836,4.81E-14
178.2185222,5.48E-14
178.2907149,6.17E-14
178.3611887,6.87E-14
178.4305166,7.56E-14
178.4981256,8.23E-14
178.5645887,8.87E-14
178.6293329,9.46E-14
178.6923583,9.99E-14
178.7542377,1.05E-13
178.8143983,1.09E-13
178.8734129,1.12E-13
178.9307087,1.14E-13
178.9862856,1.16E-13
179.0407166,1.17E-13
179.0934287,1.16E-13
179.1449949,1.16E-13
179.1948423,1.14E-13
179.2429707,1.12E-13
179.2899533,1.09E-13
179.3352169,1.06E-13
179.3793347,1.02E-13
179.4217335,9.78E-14
179.4624135,9.32E-14
179.5019476,8.83E-14
179.5397629,8.32E-14
179.5758592,7.80E-14
179.6108096,7.27E-14
179.6446141,6.74E-14
179.6761268,6.21E-14
179.7070665,5.68E-14
179.7357144,5.17E-14
179.7632164,4.67E-14
179.7889995,4.18E-14
179.8136367,3.72E-14
179.836555,3.27E-14
179.8577544,2.86E-14
179.877808,2.46E-14
179.8961426,2.10E-14
179.9133313,1.76E-14
179.9282282,1.45E-14
179.9425522,1.17E-14
179.9545843,9.17E-15
179.9654705,6.96E-15
179.9752108,5.05E-15
179.9832322,3.45E-15
179.9895347,2.15E-15
179.9941184,1.16E-15
179.9975561,4.72E-16
179.999275,8.95E-17
