# O-CO2 state-resolved inelastic channels at energy index 2
# Generated by compute_inelastic_tables.py
ji,jf,sigma_cm2,delta_E_eV
8,14,3.9456500000e-16,6.6764226217e-03
8,16,3.0588000000e-16,9.6759748141e-03
8,18,2.4219900000e-16,1.3062565999e-02
8,20,2.1104970000e-16,1.6836196177e-02
8,22,1.8788100000e-16,2.0996865347e-02
8,24,1.6169930000e-16,2.5544573509e-02
8,26,1.4451370000e-16,3.0479320664e-02
8,28,1.3268600000e-16,3.5801106812e-02
8,30,1.1515270000e-16,4.1509931953e-02
8,32,1.0205580000e-16,4.7605796085e-02
8,34,9.0248730000e-17,5.4088699211e-02
8,36,7.8430030000e-17,6.0958641329e-02
8,38,6.9285070000e-17,6.8215622440e-02
8,40,6.2651630000e-17,7.5859642543e-02
8,42,5.5976100000e-17,8.3890701638e-02
8,44,4.8241530000e-17,9.2308799727e-02
8,46,3.9419330000e-17,1.0111393681e-01
8,48,2.9820670000e-17,1.1030611288e-01
8,50,2.2282780000e-17,1.1988532795e-01
8,52,1.7947760000e-17,1.2985158201e-01
8,54,1.3188900000e-17,1.4020487506e-01
9,1,6.6199000000e-17,-4.2574289182e-03
9,3,1.8367430000e-16,-3.7736301775e-03
9,5,3.8406030000e-16,-2.9027924442e-03
9,7,1.0892580000e-15,-1.6449157184e-03
9,11,1.1952850000e-15,2.0319547110e-03
9,13,5.2166700000e-16,4.4509484145e-03
9,15,3.5226730000e-16,7.2569811106e-03
9,17,2.7216570000e-16,1.0450052799e-02
9,19,2.2205300000e-16,1.4030163480e-02
9,21,2.0152470000e-16,1.7997313154e-02
9,23,1.7317000000e-16,2.2351501821e-02
9,25,1.4815370000e-16,2.7092729480e-02
9,27,1.3851530000e-16,3.2220996131e-02
9,29,1.2719230000e-16,3.7736301775e-02
9,31,1.0789570000e-16,4.3638646412e-02
9,33,9.6519000000e-17,4.9928030041e-02
9,35,8.7015130000e-17,5.6604452663e-02
9,37,7.5963030000e-17,6.3667914277e-02
9,39,6.4566970000e-17,7.1118414884e-02
9,41,5.8707770000e-17,7.8955954483e-02
9,43,5.3433000000e-17,8.7180533075e-02
9,45,4.4783330000e-17,9.5792150660e-02
9,47,3.4362200000e-17,1.0479080724e-01
9,49,2.5829550000e-17,1.1417650281e-01
9,51,2.0290760000e-17,1.2394923737e-01
9,53,1.6012470000e-17,1.3410901092e-01
9,55,9.7436850000e-18,1.4465582347e-01
10,0,1.5259400000e-17,-5.3217861478e-03
10,2,9.2897430000e-17,-5.0315069033e-03
10,4,2.0745670000e-16,-4.3541886664e-03
10,6,3.8941800000e-16,-3.2898314368e-03
10,8,1.0910390000e-15,-1.8384352147e-03
10,12,1.0612890000e-15,2.2254742072e-03
10,14,4.6434830000e-16,4.8379874071e-03
10,16,3.0370770000e-16,7.8375395994e-03
10,18,2.3539070000e-16,1.1224130784e-02
10,20,1.9713970000e-16,1.4997760962e-02
10,22,1.7416970000e-16,1.9158430132e-02
10,24,1.4996700000e-16,2.3706138295e-02
10,26,1.3362400000e-16,2.8640885450e-02
10,28,1.2246170000e-16,3.3962671598e-02
10,30,1.0955370000e-16,3.9671496738e-02
10,32,9.5059200000e-17,4.5767360871e-02
10,34,8.7468670000e-17,5.2250263996e-02
10,36,7.8633000000e-17,5.9120206114e-02
10,38,6.7491930000e-17,6.6377187225e-02
10,40,5.7572400000e-17,7.4021207328e-02
10,42,5.3682600000e-17,8.2052266424e-02
10,44,4.7397400000e-17,9.0470364512e-02
10,46,3.8384230000e-17,9.9275501593e-02
10,48,2.8717470000e-17,1.0846767767e-01
10,50,2.2012320000e-17,1.1804689273e-01
10,52,1.7762090000e-17,1.2801314679e-01
10,54,1.3223630000e-17,1.3836643984e-01
11,1,3.8858570000e-17,-6.2893836292e-03
11,3,1.1491490000e-16,-5.8055848885e-03
11,5,2.1740270000e-16,-4.9347471552e-03
11,7,4.0278330000e-16,-3.6768704294e-03
11,9,1.0010250000e-15,-2.0319547110e-03
11,13,9.7306370000e-16,2.4189937035e-03
11,15,4.2980730000e-16,5.2250263996e-03
11,17,2.7743230000e-16,8.4180980883e-03
11,19,2.1676670000e-16,1.1998208770e-02
11,21,1.7524000000e-16,1.5965358443e-02
11,23,1.5361530000e-16,2.0319547110e-02
11,25,1.3597130000e-16,2.5060774769e-02
11,27,1.1694200000e-16,3.0189041420e-02
11,29,1.0362070000e-16,3.5704347064e-02
11,31,9.3542530000e-17,4.1606691701e-02
11,33,8.1802570000e-17,4.7896075330e-02
11,35,7.3461870000e-17,5.4572497952e-02
11,37,6.5242800000e-17,6.1635959566e-02
11,39,5.7005200000e-17,6.9086460173e-02
11,41,4.9381930000e-17,7.6923999772e-02
11,43,4.3851530000e-17,8.5148578364e-02
11,45,3.7317470000e-17,9.3760195949e-02
11,47,2.9813400000e-17,1.0275885253e-01
11,49,2.1964610000e-17,1.1214454810e-01
11,51,1.6752050000e-17,1.2191728266e-01
11,53,1.3389380000e-17,1.3207705621e-01
11,55,8.1128950000e-18,1.4262386876e-01
12,0,1.1361630000e-17,-7.5472603550e-03
12,2,5.8417130000e-17,-7.2569811106e-03
12,4,1.2939170000e-16,-6.5796628736e-03
12,6,2.2997370000e-16,-5.5153056441e-03
12,8,4.1197230000e-16,-4.0639094219e-03
12,10,9.0505600000e-16,-2.2254742072e-03
12,14,8.8227730000e-16,2.6125131998e-03
12,16,3.9054600000e-16,5.6120653922e-03
12,18,2.5590830000e-16,8.9986565771e-03
12,20,1.9596070000e-16,1.2772286755e-02
12,22,1.5883900000e-16,1.6932955925e-02
12,24,1.4470700000e-16,2.1480664087e-02
12,26,1.2348270000e-16,2.6415411243e-02
12,28,1.0346330000e-16,3.1737197390e-02
12,30,9.3068200000e-17,3.7446022531e-02
12,32,8.3761400000e-17,4.3541886664e-02
12,34,6.9592030000e-17,5.0024789789e-02
12,36,6.0973600000e-17,5.6894731907e-02
12,38,5.4723370000e-17,6.4151713018e-02
12,40,4.8656270000e-17,7.1795733121e-02
12,42,3.9463430000e-17,7.9826792217e-02
12,44,3.3100800000e-17,8.8244890305e-02
12,46,2.8139600000e-17,9.7050027386e-02
12,48,2.1974330000e-17,1.0624220346e-01
12,50,1.5420350000e-17,1.1582141853e-01
12,52,1.2123740000e-17,1.2578767258e-01
12,54,8.9000900000e-18,1.3614096563e-01
13,1,3.0870270000e-17,-8.7083773327e-03
13,3,7.3677700000e-17,-8.2245785920e-03
13,5,1.4329770000e-16,-7.3537408587e-03
13,7,2.3781400000e-16,-6.0958641329e-03
13,9,3.7837270000e-16,-4.4509484145e-03
13,11,8.4274000000e-16,-2.4189937035e-03
13,15,8.0158900000e-16,2.8060326961e-03
13,17,3.6289970000e-16,5.9991043848e-03
13,19,2.3064300000e-16,9.5792150660e-03
13,21,1.7591770000e-16,1.3546364740e-02
13,23,1.4494070000e-16,1.7900553406e-02
13,25,1.2910200000e-16,2.2641781065e-02
13,27,1.0793700000e-16,2.7770047717e-02
13,29,9.1806670000e-17,3.3285353361e-02
13,31,8.1956900000e-17,3.9187697997e-02
13,33,7.2137870000e-17,4.5477081626e-02
13,35,5.8927570000e-17,5.2153504248e-02
13,37,5.1826630000e-17,5.9216965862e-02
13,39,4.6902600000e-17,6.6667466469e-02
13,41,4.0467870000e-17,7.4505006069e-02
13,43,3.1410500000e-17,8.2729584661e-02
13,45,2.6264130000e-17,9.1341202245e-02
13,47,2.2281930000e-17,1.0033985882e-01
13,49,1.6257300000e-17,1.0972555439e-01
13,51,1.1610050000e-17,1.1949828895e-01
13,53,9.0716230000e-18,1.2965806251e-01
13,55,5.6208040000e-18,1.4020487506e-01
14,0,9.6357130000e-18,-1.0159773555e-02
14,2,4.5969800000e-17,-9.8694943104e-03
14,4,8.7944600000e-17,-9.1921760734e-03
14,6,1.5242930000e-16,-8.1278188439e-03
14,8,2.4205200000e-16,-6.6764226217e-03
14,10,3.4758230000e-16,-4.8379874071e-03
14,12,7.7442530000e-16,-2.6125131998e-03
14,16,7.4312070000e-16,2.9995521924e-03
14,18,3.3592530000e-16,6.3861433773e-03
14,20,2.1056530000e-16,1.0159773555e-02
14,22,1.6436130000e-16,1.4320442725e-02
14,24,1.3079230000e-16,1.8868150888e-02
14,26,1.1316400000e-16,2.3802898043e-02
14,28,9.4591870000e-17,2.9124684191e-02
14,30,7.8726130000e-17,3.4833509331e-02
14,32,6.8655170000e-17,4.0929373464e-02
14,34,6.0427770000e-17,4.7412276589e-02
14,36,5.0084730000e-17,5.4282218707e-02
14,38,4.3580630000e-17,6.1539199818e-02
14,40,3.9410170000e-17,6.9183219921e-02
14,42,3.3996430000e-17,7.7214279017e-02
14,44,2.7257700000e-17,8.5632377105e-02
14,46,2.3136700000e-17,9.4437514186e-02
14,48,1.8569330000e-17,1.0362969026e-01
14,50,1.3703540000e-17,1.1320890533e-01
14,52,1.0564100000e-17,1.2317515938e-01
14,54,7.8739040000e-18,1.3352845243e-01
15,1,2.5093500000e-17,-1.1514410029e-02
15,3,5.8614330000e-17,-1.1030611288e-02
15,5,9.8172070000e-17,-1.0159773555e-02
15,7,1.6112600000e-16,-8.9018968290e-03
15,9,2.2692970000e-16,-7.2569811106e-03
15,11,3.3061200000e-16,-5.2250263996e-03
15,13,7.1194170000e-16,-2.8060326961e-03
15,17,6.8367030000e-16,3.1930716887e-03
15,19,3.0482230000e-16,6.7731823699e-03
15,21,1.9387630000e-16,1.0740332044e-02
15,23,1.4536930000e-16,1.5094520710e-02
15,25,1.1471570000e-16,1.9835748369e-02
15,27,1.0078310000e-16,2.4964015020e-02
15,29,8.2319630000e-17,3.0479320664e-02
15,31,6.8392030000e-17,3.6381665301e-02
15,33,5.8458970000e-17,4.2671048930e-02
15,35,5.2821470000e-17,4.9347471552e-02
15,37,4.3852730000e-17,5.6410933166e-02
15,39,3.7497400000e-17,6.3861433773e-02
15,41,3.4041070000e-17,7.1698973373e-02
15,43,2.9934470000e-17,7.9923551965e-02
15,45,2.4544270000e-17,8.8535169549e-02
15,47,2.0027530000e-17,9.7533826126e-02
15,49,1.5717070000e-17,1.0691952170e-01
15,51,1.1855490000e-17,1.1669225626e-01
15,53,9.1924260000e-18,1.2685202981e-01
15,55,5.7204770000e-18,1.3739884236e-01
16,0,6.9615730000e-18,-1.3159325747e-02
16,2,3.7184300000e-17,-1.2869046503e-02
16,4,6.8401500000e-17,-1.2191728266e-02
16,6,1.0805770000e-16,-1.1127371036e-02
16,8,1.6842000000e-16,-9.6759748141e-03
16,10,2.0404370000e-16,-7.8375395994e-03
16,12,3.0767970000e-16,-5.6120653922e-03
16,14,6.6697830000e-16,-2.9995521924e-03
16,18,6.2555500000e-16,3.3865911849e-03
16,20,2.8392070000e-16,7.1602213625e-03
16,22,1.7211370000e-16,1.1320890533e-02
16,24,1.2647170000e-16,1.5868598695e-02
16,26,1.0272250000e-16,2.0803345850e-02
16,28,8.8661600000e-17,2.6125131998e-02
16,30,7.3974100000e-17,3.1833957138e-02
16,32,6.1494400000e-17,3.7929821271e-02
16,34,5.2725770000e-17,4.4412724397e-02
16,36,4.8421270000e-17,5.1282666515e-02
16,38,4.0529700000e-17,5.8539647625e-02
16,40,3.4624370000e-17,6.6183667729e-02
16,42,3.1021300000e-17,7.4214726824e-02
16,44,2.6711800000e-17,8.2632824913e-02
16,46,2.1373230000e-17,9.1437961993e-02
16,48,1.7165000000e-17,1.0063013807e-01
16,50,1.2860960000e-17,1.1020935313e-01
16,52,9.7579980000e-18,1.2017560719e-01
16,54,7.0282960000e-18,1.3052890024e-01
17,1,1.8925830000e-17,-1.4707481717e-02
17,3,4.6296400000e-17,-1.4223682977e-02
17,5,7.7495830000e-17,-1.3352845243e-02
17,7,1.1754800000e-16,-1.2094968518e-02
17,9,1.5885930000e-16,-1.0450052799e-02
17,11,1.9335900000e-16,-8.4180980883e-03
17,13,2.9203930000e-16,-5.9991043848e-03
17,15,6.1945330000e-16,-3.1930716887e-03
17,19,5.8292530000e-16,3.5801106812e-03
17,21,2.5677130000e-16,7.5472603550e-03
17,23,1.5213430000e-16,1.1901449021e-02
17,25,1.1559300000e-16,1.6642676680e-02
17,27,9.2404530000e-17,2.1770943332e-02
17,29,8.1271530000e-17,2.7286248976e-02
17,31,6.8546400000e-17,3.3188593612e-02
17,33,5.5700630000e-17,3.9477977242e-02
17,35,4.8161500000e-17,4.6154399863e-02
17,37,4.4115370000e-17,5.3217861478e-02
17,39,3.7395970000e-17,6.0668362085e-02
17,41,3.1804430000e-17,6.8505901684e-02
17,43,2.7453970000e-17,7.6730480276e-02
17,45,2.2656570000e-17,8.5342097861e-02
17,47,1.8757770000e-17,9.4340754438e-02
17,49,1.4244480000e-17,1.0372645001e-01
17,51,1.0015420000e-17,1.1349918457e-01
17,53,7.8377160000e-18,1.2365895812e-01
17,55,4.9541140000e-18,1.3420577067e-01
18,0,6.0219730000e-18,-1.6545916932e-02
18,2,2.8471330000e-17,-1.6255637688e-02
18,4,5.4721970000e-17,-1.5578319451e-02
18,6,8.7871030000e-17,-1.4513962221e-02
18,8,1.2187600000e-16,-1.3062565999e-02
18,10,1.4453030000e-16,-1.1224130784e-02
18,12,1.8425200000e-16,-8.9986565771e-03
18,14,2.7554870000e-16,-6.3861433773e-03
18,16,5.7169970000e-16,-3.3865911849e-03
18,20,5.3579200000e-16,3.7736301775e-03
18,22,2.3078030000e-16,7.9342993476e-03
18,24,1.4299170000e-16,1.2482007510e-02
18,26,1.0539670000e-16,1.7416754665e-02
18,28,8.5334070000e-17,2.2738540813e-02
18,30,7.6770400000e-17,2.8447365954e-02
18,32,6.3610400000e-17,3.4543230086e-02
18,34,5.1871070000e-17,4.1026133212e-02
18,36,4.3340500000e-17,4.7896075330e-02
18,38,3.9684830000e-17,5.5153056441e-02
18,40,3.4090430000e-17,6.2797076544e-02
18,42,2.7966270000e-17,7.0828135639e-02
18,44,2.3419130000e-17,7.9246233728e-02
18,46,2.0104030000e-17,8.8051370809e-02
18,48,1.6806130000e-17,9.7243546882e-02
18,50,1.1680400000e-17,1.0682276195e-01
18,52,8.8553690000e-18,1.1678901601e-01
18,54,6.8028760000e-18,1.2714230906e-01
19,1,1.6335600000e-17,-1.8287592399e-02
19,3,3.6544570000e-17,-1.7803793658e-02
19,5,6.3953530000e-17,-1.6932955925e-02
19,7,9.2684600000e-17,-1.5675079199e-02
19,9,1.1939300000e-16,-1.4030163480e-02
19,11,1.3916870000e-16,-1.1998208770e-02
19,13,1.7097600000e-16,-9.5792150660e-03
19,15,2.5441900000e-16,-6.7731823699e-03
19,17,5.3697470000e-16,-3.5801106812e-03
19,21,4.9190070000e-16,3.9671496738e-03
19,23,2.1792930000e-16,8.3213383401e-03
19,25,1.3140130000e-16,1.3062565999e-02
19,27,9.5824970000e-17,1.8190832651e-02
19,29,7.9116270000e-17,2.3706138295e-02
19,31,6.9504500000e-17,2.9608482931e-02
19,33,5.8975300000e-17,3.5897866560e-02
19,35,4.7296570000e-17,4.2574289182e-02
19,37,3.8941170000e-17,4.9637750796e-02
19,39,3.6620130000e-17,5.7088251403e-02
19,41,3.0575170000e-17,6.4925791003e-02
19,43,2.4523500000e-17,7.3150369595e-02
19,45,2.1057670000e-17,8.1761987179e-02
19,47,1.8586400000e-17,9.0760643756e-02
19,49,1.4382370000e-17,1.0014633933e-01
19,51,9.9652370000e-18,1.0991907389e-01
19,53,7.7987080000e-18,1.2007884744e-01
19,55,4.8828280000e-18,1.3062565999e-01
20,0,5.1663430000e-18,-2.0319547110e-02
20,2,2.4519300000e-17,-2.0029267865e-02
20,4,4.5206200000e-17,-1.9351949628e-02
20,6,6.9603930000e-17,-1.8287592399e-02
20,8,9.8551130000e-17,-1.6836196177e-02
20,10,1.1232430000e-16,-1.4997760962e-02
20,12,1.3092670000e-16,-1.2772286755e-02
20,14,1.6027730000e-16,-1.0159773555e-02
20,16,2.4078530000e-16,-7.1602213625e-03
20,18,4.9719530000e-16,-3.7736301775e-03
20,22,4.6496830000e-16,4.1606691701e-03
20,24,2.0139230000e-16,8.7083773327e-03
20,26,1.1946430000e-16,1.3643124488e-02
20,28,9.0685770000e-17,1.8964910636e-02
20,30,7.2253670000e-17,2.4673735776e-02
20,32,6.3622570000e-17,3.0769599909e-02
20,34,5.4684600000e-17,3.7252503034e-02
20,36,4.2929870000e-17,4.4122445152e-02
20,38,3.7007270000e-17,5.1379426263e-02
20,40,3.3206570000e-17,5.9023446366e-02
20,42,2.7932630000e-17,6.7054505462e-02
20,44,2.2843530000e-17,7.5472603550e-02
20,46,1.9453970000e-17,8.4277740631e-02
20,48,1.6472700000e-17,9.3469916704e-02
20,50,1.2213990000e-17,1.0304913177e-01
20,52,8.7119300000e-18,1.1301538583e-01
20,54,6.2113390000e-18,1.2336867888e-01
21,1,1.3992870000e-17,-2.2254742072e-02
21,3,3.2083470000e-17,-2.1770943332e-02
21,5,5.1475830000e-17,-2.0900105599e-02
