# Gacesa et al., doi:10.5281/zenodo.3256699. Raw CSs_3pes, even j for 12C16O2 v=0.
# Includes elastic diagonals; independent variable is MOLSCAT total energy.
total_energy_eV,ji,jf,sigma_cm2
0.153740404768,18,12,1.842520000000e-16
0.153740404768,18,14,2.755487000000e-16
0.153740404768,18,16,5.716997000000e-16
0.153740404768,18,18,1.007272000000e-14
0.153740404768,18,20,5.357920000000e-16
0.153740404768,18,22,2.307803000000e-16
0.153740404768,18,24,1.429917000000e-16
0.153740404768,18,26,1.053967000000e-16
0.153740404768,18,28,8.533407000000e-17
0.153740404768,18,30,7.677040000000e-17
0.153740404768,18,32,6.361040000000e-17
0.153740404768,18,34,5.187107000000e-17
0.153740404768,18,36,4.334050000000e-17
0.153740404768,18,38,3.968483000000e-17
0.153740404768,18,40,3.409043000000e-17
0.153740404768,18,42,2.796627000000e-17
0.153740404768,18,44,2.341913000000e-17
0.153740404768,18,46,2.010403000000e-17
0.153740404768,18,48,1.680613000000e-17
0.153740404768,18,50,1.168040000000e-17
0.153740404768,18,52,8.855369000000e-18
0.153740404768,18,54,6.802876000000e-18
0.153740404768,20,0,5.166343000000e-18
0.153740404768,20,2,2.451930000000e-17
0.153740404768,20,4,4.520620000000e-17
0.153740404768,20,6,6.960393000000e-17
0.153740404768,20,8,9.855113000000e-17
0.153740404768,20,10,1.123243000000e-16
0.153740404768,20,12,1.309267000000e-16
0.153740404768,20,14,1.602773000000e-16
0.153740404768,20,16,2.407853000000e-16
0.153740404768,20,18,4.971953000000e-16
0.153740404768,20,20,9.166023000000e-15
0.153740404768,20,22,4.649683000000e-16
0.153740404768,20,24,2.013923000000e-16
0.153740404768,20,26,1.194643000000e-16
0.153740404768,20,28,9.068577000000e-17
0.153740404768,20,30,7.225367000000e-17
0.153740404768,20,32,6.362257000000e-17
0.153740404768,20,34,5.468460000000e-17
0.153740404768,20,36,4.292987000000e-17
0.153740404768,20,38,3.700727000000e-17
0.153740404768,20,40,3.320657000000e-17
0.153740404768,20,42,2.793263000000e-17
0.153740404768,20,44,2.284353000000e-17
0.153740404768,20,46,1.945397000000e-17
0.153740404768,20,48,1.647270000000e-17
0.153740404768,20,50,1.221399000000e-17
0.153740404768,20,52,8.711930000000e-18
0.153740404768,20,54,6.211339000000e-18
0.153740404768,22,0,4.179947000000e-18
0.153740404768,22,2,2.159423000000e-17
0.153740404768,22,4,3.834117000000e-17
0.153740404768,22,6,5.679040000000e-17
0.153740404768,22,8,8.250673000000e-17
0.153740404768,22,10,9.332590000000e-17
0.153740404768,22,12,9.980387000000e-17
0.153740404768,22,14,1.176567000000e-16
0.153740404768,22,16,1.372713000000e-16
0.153740404768,22,18,2.014000000000e-16
0.153740404768,22,20,4.372740000000e-16
0.153740404768,22,22,8.449790000000e-15
0.153740404768,22,24,4.032830000000e-16
0.153740404768,22,26,1.728977000000e-16
0.153740404768,22,28,1.043891000000e-16
0.153740404768,22,30,7.688710000000e-17
0.153740404768,22,32,6.166667000000e-17
0.153740404768,22,34,5.444977000000e-17
0.153740404768,22,36,4.849293000000e-17
0.153740404768,22,38,3.859670000000e-17
0.153740404768,22,40,3.059050000000e-17
0.153740404768,22,42,2.754643000000e-17
0.153740404768,22,44,2.422793000000e-17
0.153740404768,22,46,1.829850000000e-17
0.153740404768,22,48,1.555923000000e-17
0.153740404768,22,50,1.198143000000e-17
0.153740404768,22,52,8.682262000000e-18
0.153740404768,22,54,6.433551000000e-18
0.153740404768,24,0,3.934727000000e-18
0.153740404768,24,2,1.848300000000e-17
0.153740404768,24,4,3.211810000000e-17
0.153740404768,24,6,5.101870000000e-17
0.153740404768,24,8,6.759053000000e-17
0.153740404768,24,10,7.648877000000e-17
0.153740404768,24,12,8.654660000000e-17
0.153740404768,24,14,8.911900000000e-17
0.153740404768,24,16,9.601250000000e-17
0.153740404768,24,18,1.187797000000e-16
0.153740404768,24,20,1.802783000000e-16
0.153740404768,24,22,3.838673000000e-16
0.153740404768,24,24,7.878057000000e-15
0.153740404768,24,26,3.559457000000e-16
0.153740404768,24,28,1.430850000000e-16
0.153740404768,24,30,9.048997000000e-17
0.153740404768,24,32,6.843013000000e-17
0.153740404768,24,34,5.375443000000e-17
0.153740404768,24,36,4.743490000000e-17
0.153740404768,24,38,4.133467000000e-17
0.153740404768,24,40,3.354137000000e-17
0.153740404768,24,42,2.738510000000e-17
0.153740404768,24,44,2.337903000000e-17
