#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
243844,8704790000000,741210000000,285278000000,486912000000
245211,8285930000000,685794000000,264723000000,430598000000
246377,8011890000000,641829000000,248371000000,387757000000
246795,7915670000000,626733000000,242746000000,373430000000
247341,7791930000000,607578000000,235602000000,355539000000
249012,7425260000000,553614000000,215027000000,305957000000
249148,7396140000000,549431000000,213431000000,302234000000
249436,7334880000000,540684000000,210093000000,294502000000
250402,7133380000000,512386000000,199285000000,270017000000
250769,7058280000000,500320000000,195327000000,261258000000
251634,6884230000000,472966000000,186296000000,241703000000
251713,6868510000000,470538000000,185491000000,239988000000
252496,6715080000000,455820000000,177714000000,223675000000
253085,6601890000000,445050000000,172078000000,212135000000
254693,6184840000000,416936000000,157590000000,183584000000
255212,6055970000000,408248000000,153180000000,175217000000
255556,5972010000000,399225000000,150325000000,169881000000
256584,5727930000000,373427000000,142104000000,154882000000
257315,5608480000000,356119000000,136538000000,145038000000
258272,5455700000000,334646000000,129573000000,133078000000
258616,5401820000000,328166000000,127157000000,129025000000
260375,5134560000000,296949000000,115495000000,110156000000
260522,5112830000000,294479000000,114570000000,108710000000
261269,4976800000000,282229000000,109980000000,101644000000
261770,4887760000000,274313000000,107010000000,97172400000
262546,4752830000000,262713000000,102562000000,90623800000
262653,4734510000000,261151000000,101964000000,89755700000
262996,4676240000000,256206000000,100066000000,87027300000
263494,4592990000000,249201000000,97377600000,83217300000
264458,4435990000000,236175000000,92374800000,76545700000
264809,4391300000000,231605000000,90618300000,74252300000
264830,4388650000000,231335000000,90510700000,74117900000
265206,4341340000000,226371000000,88598500000,71743600000
266055,4236220000000,215535000000,84422000000,66650900000
266116,4228870000000,214787000000,84133700000,66304100000
268307,3969770000000,189258000000,74280900000,54835100000
268396,3959630000000,188292000000,73960700000,54415200000
268737,3911150000000,184615000000,72740700000,52828400000
268765,3907220000000,184319000000,72642000000,52700900000
269143,3854280000000,180478000000,71316000000,51001500000
270425,3680070000000,168042000000,66997900000,45637200000
271359,3558260000000,159534000000,64020700000,42091500000
271805,3501390000000,155616000000,62643000000,40493300000
271825,3498830000000,155441000000,62572300000,40422200000
272332,3435450000000,151027000000,60831300000,38685100000
273080,3362080000000,144739000000,58349300000,36256200000
273980,3275940000000,137524000000,55498800000,33536800000
274866,3193290000000,130772000000,52828400000,31058900000
275323,3151430000000,127416000000,51472700000,29851700000
276269,3066530000000,121676000000,48776800000,27500700000
276601,3037300000000,119724000000,47865100000,26720800000
278363,2886760000000,109878000000,43304100000,22936900000
278821,2848860000000,107454000000,42348600000,22044200000
279223,2816040000000,105077000000,41528100000,21290000000
280207,2737230000000,99476100000,39584900000,19549900000
281844,2610900000000,90807100000,36549900000,16963000000
281861,2609610000000,90720700000,36519400000,16937900000
281882,2608090000000,90618300000,36478200000,16908100000
284144,2443290000000,79684100000,32161100000,13897700000
284466,2415090000000,78239800000,31589900000,13515400000
284922,2375670000000,76237400000,30797800000,12889000000
285379,2336800000000,74280900000,30119200000,12290000000
285768,2304240000000,72689500000,29553900000,11802500000
286650,2232150000000,69209100000,28312100000,10768500000
288081,2119840000000,63908400000,26405700000,9682730000
288420,2099180000000,62711500000,25972500000,9441590000
288440,2097990000000,62643000000,25943600000,9427830000
289706,2022750000000,58897300000,24142600000,8581950000
289709,2022560000000,58888200000,24138300000,8579930000
291918,1897670000000,52880600000,21290000000,7122760000
