#alt[m],O[m^-3],N2[m^-3],CO[m^-3],CO2[m^-3]
157373,460178000000000,289254000000000,199372000000000,3325720000000000
158328,447666000000000,278256000000000,190310000000000,3093570000000000
158806,441538000000000,272562000000000,185935000000000,2983650000000000
159761,429533000000000,261522000000000,177484000000000,2775380000000000
160239,422196000000000,256171000000000,173403000000000,2676760000000000
161672,400929000000000,240765000000000,161716000000000,2406760000000000
162149,394081000000000,235839000000000,157999000000000,2322960000000000
162627,387350000000000,231013000000000,154366000000000,2242070000000000
163582,374230000000000,220513000000000,147350000000000,2088650000000000
164060,367838000000000,215443000000000,143962000000000,2004050000000000
164537,360777000000000,210490000000000,140653000000000,1922870000000000
165015,353852000000000,205651000000000,137419000000000,1.84499E+015
165493,347060000000000,200923000000000,134260000000000,1770260000000000
165970,340398000000000,196304000000000,131173000000000,1698550000000000
166448,333864000000000,191791000000000,128158000000000,1629750000000000
167881,315004000000000,180957000000000,120918000000000,1.48497E+015
168836,306440000000000,174077000000000,116321000000000,1395660000000000
169313,302245000000000,170735000000000,114088000000000,1353050000000000
169791,298108000000000,167458000000000,111898000000000,1311730000000000
170269,294027000000000,164244000000000,109750000000000,1271680000000000
171224,286033000000000,157999000000000,105304000000000,1195200000000000
172179,278256000000000,151991000000000,101039000000000,1123320000000000
173134,270690000000000,146212000000000,96946500000000,1.05577E+015
174090,263331000000000,140653000000000,93019600000000,992277000000000
174567,259726000000000,137953000000000,91116300000000,961978000000000
175045,256171000000000,135305000000000,89367300000000,932603000000000
176000,249206000000000,130160000000000,85969300000000,876518000000000
176478,245795000000000,127662000000000,84319100000000,849753000000000
177433,239772000000000,122808000000000,81113100000000,798651000000000
177910,236816000000000,120450000000000,79556100000000,774264000000000
178388,233896000000000,117986000000000,78029000000000,750621000000000
178866,231013000000000,115571000000000,76531200000000,727701000000000
179343,228165000000000,113207000000000,75062100000000,705480000000000
179821,225352000000000,110890000000000,73621300000000,683938000000000
181254,217120000000000,104222000000000,69462600000000,623179000000000
181731,214887000000000,102089000000000,68129200000000,604150000000000
182209,212678000000000,100000000000000,66821400000000,585702000000000
182687,210490000000000,98080500000000,65454100000000,567817000000000
