#0.19eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
132.2380862,1.32E-12
132.5623803,1.33E-12
132.8861014,1.34E-12
133.2092496,1.35E-12
133.5318249,1.36E-12
133.8532542,1.37E-12
134.1741105,1.38E-12
134.494394,1.39E-12
134.8141044,1.41E-12
135.1326689,1.42E-12
135.4506605,1.43E-12
135.7675062,1.44E-12
136.0843518,1.45E-12
136.4000516,1.46E-12
136.7146054,1.48E-12
137.0285863,1.49E-12
137.3419942,1.50E-12
137.6548292,1.51E-12
137.9665182,1.53E-12
138.2770613,1.54E-12
138.5870315,1.55E-12
138.8964287,1.57E-12
139.2052529,1.58E-12
139.5129313,1.59E-12
139.8194637,1.61E-12
140.1254232,1.62E-12
140.4308097,1.63E-12
140.7350503,1.65E-12
141.0387179,1.66E-12
141.3412396,1.68E-12
141.6426154,1.69E-12
141.9434183,1.71E-12
142.2436481,1.72E-12
142.5427321,1.74E-12
142.8412431,1.75E-12
143.1386082,1.77E-12
143.4348274,1.78E-12
143.7304736,1.80E-12
144.0255469,1.82E-12
144.3189013,1.83E-12
144.6122557,1.85E-12
144.9038912,1.87E-12
145.1949537,1.88E-12
145.4854433,1.90E-12
145.7742141,1.92E-12
146.0624118,1.94E-12
146.3500367,1.95E-12
146.6365156,1.97E-12
146.9218485,1.99E-12
147.2066086,2.01E-12
147.4902227,2.03E-12
147.7726909,2.05E-12
148.0540131,2.07E-12
148.3347625,2.09E-12
148.6143659,2.11E-12
148.8933963,2.13E-12
149.1707079,2.15E-12
149.4474465,2.17E-12
149.7236122,2.19E-12
149.9980589,2.21E-12
150.2719328,2.23E-12
150.5446607,2.26E-12
150.8162427,2.28E-12
151.0872517,2.30E-12
151.3565419,2.32E-12
151.6252591,2.35E-12
151.8928304,2.37E-12
152.1592557,2.40E-12
152.4251082,2.42E-12
152.6898147,2.45E-12
152.9528023,2.47E-12
153.215217,2.50E-12
153.4770587,2.52E-12
153.7371815,2.55E-12
153.9961584,2.58E-12
154.2545624,2.60E-12
154.5118204,2.63E-12
154.7673596,2.66E-12
155.0223258,2.69E-12
155.2761461,2.72E-12
155.5288205,2.75E-12
155.780922,2.78E-12
156.0313045,2.81E-12
156.2805412,2.84E-12
