#3.9eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998
#angle(deg),sigma(cm^2)
7.92E+01,1.88E-11
7.95E+01,1.91E-11
7.99E+01,1.94E-11
8.03E+01,1.98E-11
8.06E+01,2.00E-11
8.10E+01,2.02E-11
8.14E+01,2.04E-11
8.17E+01,2.06E-11
8.21E+01,2.08E-11
8.25E+01,2.09E-11
8.28E+01,2.11E-11
8.32E+01,2.13E-11
8.36E+01,2.16E-11
8.39E+01,2.20E-11
8.43E+01,2.24E-11
8.47E+01,2.27E-11
8.50E+01,2.28E-11
8.54E+01,2.29E-11
8.58E+01,2.29E-11
8.61E+01,2.30E-11
8.65E+01,2.31E-11
8.69E+01,2.33E-11
8.72E+01,2.35E-11
8.76E+01,2.37E-11
8.80E+01,2.39E-11
8.83E+01,2.40E-11
8.87E+01,2.42E-11
8.91E+01,2.43E-11
8.94E+01,2.43E-11
8.98E+01,2.42E-11
9.02E+01,2.43E-11
9.06E+01,2.44E-11
9.09E+01,2.46E-11
9.13E+01,2.48E-11
9.17E+01,2.49E-11
9.20E+01,2.49E-11
9.24E+01,2.48E-11
9.28E+01,2.46E-11
9.31E+01,2.45E-11
9.35E+01,2.44E-11
9.39E+01,2.44E-11
9.42E+01,2.45E-11
9.46E+01,2.46E-11
9.50E+01,2.47E-11
9.53E+01,2.49E-11
9.57E+01,2.51E-11
9.61E+01,2.53E-11
9.64E+01,2.53E-11
9.68E+01,2.50E-11
9.72E+01,2.48E-11
9.75E+01,2.48E-11
9.79E+01,2.50E-11
9.83E+01,2.51E-11
9.86E+01,2.51E-11
9.90E+01,2.50E-11
9.94E+01,2.50E-11
9.97E+01,2.52E-11
1.00E+02,2.53E-11
1.00E+02,2.52E-11
1.01E+02,2.50E-11
1.01E+02,2.50E-11
1.02E+02,2.52E-11
1.02E+02,2.55E-11
1.02E+02,2.57E-11
1.03E+02,2.58E-11
1.03E+02,2.58E-11
1.03E+02,2.58E-11
1.04E+02,2.59E-11
1.04E+02,2.58E-11
1.04E+02,2.55E-11
1.05E+02,2.54E-11
1.05E+02,2.54E-11
1.06E+02,2.56E-11
1.06E+02,2.58E-11
1.06E+02,2.60E-11
1.07E+02,2.61E-11
1.07E+02,2.63E-11
1.07E+02,2.66E-11
1.08E+02,2.67E-11
1.08E+02,2.66E-11
1.08E+02,2.65E-11
1.09E+02,2.65E-11
1.09E+02,2.66E-11
1.10E+02,2.68E-11
1.10E+02,2.70E-11
1.10E+02,2.71E-11
1.11E+02,2.71E-11
1.11E+02,2.72E-11
1.11E+02,2.73E-11
1.12E+02,2.75E-11
1.12E+02,2.75E-11
1.12E+02,2.75E-11
1.13E+02,2.76E-11
1.13E+02,2.78E-11
1.13E+02,2.82E-11
1.14E+02,2.85E-11
1.14E+02,2.87E-11
1.15E+02,2.88E-11
1.15E+02,2.88E-11
1.15E+02,2.87E-11
1.16E+02,2.87E-11
1.16E+02,2.87E-11
1.16E+02,2.87E-11
1.17E+02,2.88E-11
1.17E+02,2.90E-11
1.17E+02,2.93E-11
1.18E+02,2.97E-11
1.18E+02,3.02E-11
1.18E+02,3.05E-11
1.19E+02,3.06E-11
1.19E+02,3.07E-11
1.19E+02,3.07E-11
1.20E+02,3.07E-11
1.20E+02,3.07E-11
1.20E+02,3.08E-11
1.21E+02,3.08E-11
1.21E+02,3.09E-11
1.22E+02,3.12E-11
1.22E+02,3.16E-11
1.22E+02,3.20E-11
1.23E+02,3.23E-11
1.23E+02,3.25E-11
1.23E+02,3.26E-11
1.24E+02,3.29E-11
1.24E+02,3.31E-11
1.24E+02,3.33E-11
