#1.9eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
6.09E+01,6.62E-16
6.13E+01,6.49E-16
6.16E+01,6.37E-16
6.20E+01,6.26E-16
6.23E+01,6.16E-16
6.27E+01,6.05E-16
6.30E+01,5.94E-16
6.34E+01,5.83E-16
6.37E+01,5.71E-16
6.41E+01,5.59E-16
6.44E+01,5.47E-16
6.48E+01,5.35E-16
6.51E+01,5.24E-16
6.55E+01,5.12E-16
6.58E+01,5.00E-16
6.62E+01,4.90E-16
6.65E+01,4.80E-16
6.69E+01,4.72E-16
6.73E+01,4.63E-16
6.76E+01,4.55E-16
6.80E+01,4.47E-16
6.83E+01,4.39E-16
6.87E+01,4.34E-16
6.90E+01,4.30E-16
6.94E+01,4.27E-16
6.98E+01,4.24E-16
7.01E+01,4.21E-16
7.05E+01,4.17E-16
7.08E+01,4.13E-16
7.12E+01,4.09E-16
7.16E+01,4.06E-16
7.19E+01,4.03E-16
7.23E+01,4.01E-16
7.26E+01,3.98E-16
7.30E+01,3.94E-16
7.34E+01,3.91E-16
7.37E+01,3.88E-16
7.41E+01,3.84E-16
7.44E+01,3.81E-16
7.48E+01,3.78E-16
7.52E+01,3.75E-16
7.55E+01,3.72E-16
7.59E+01,3.70E-16
7.63E+01,3.69E-16
7.66E+01,3.67E-16
7.70E+01,3.64E-16
7.73E+01,3.61E-16
7.77E+01,3.56E-16
7.81E+01,3.52E-16
7.84E+01,3.48E-16
7.88E+01,3.45E-16
7.92E+01,3.41E-16
7.95E+01,3.37E-16
7.99E+01,3.32E-16
8.03E+01,3.27E-16
8.06E+01,3.21E-16
8.10E+01,3.17E-16
8.14E+01,3.13E-16
8.17E+01,3.10E-16
8.21E+01,3.07E-16
8.25E+01,3.03E-16
8.28E+01,2.98E-16
8.32E+01,2.94E-16
8.36E+01,2.91E-16
8.39E+01,2.89E-16
8.43E+01,2.87E-16
8.47E+01,2.86E-16
8.50E+01,2.85E-16
8.54E+01,2.84E-16
8.58E+01,2.83E-16
8.61E+01,2.82E-16
8.65E+01,2.81E-16
8.69E+01,2.79E-16
8.72E+01,2.77E-16
8.76E+01,2.74E-16
8.80E+01,2.72E-16
8.83E+01,2.71E-16
8.87E+01,2.69E-16
8.91E+01,2.67E-16
8.94E+01,2.64E-16
8.98E+01,2.60E-16
9.02E+01,2.57E-16
9.06E+01,2.55E-16
9.09E+01,2.53E-16
9.13E+01,2.52E-16
9.17E+01,2.50E-16
9.20E+01,2.48E-16
9.24E+01,2.45E-16
9.28E+01,2.42E-16
9.31E+01,2.39E-16
9.35E+01,2.37E-16
9.39E+01,2.35E-16
9.42E+01,2.33E-16
9.46E+01,2.30E-16
9.50E+01,2.27E-16
9.53E+01,2.23E-16
9.57E+01,2.19E-16
9.61E+01,2.16E-16
9.64E+01,2.12E-16
9.68E+01,2.09E-16
9.72E+01,2.06E-16
9.75E+01,2.03E-16
9.79E+01,2.00E-16
9.83E+01,1.97E-16
9.86E+01,1.94E-16
9.90E+01,1.92E-16
9.94E+01,1.89E-16
9.97E+01,1.88E-16
1.00E+02,1.86E-16
1.00E+02,1.85E-16
1.01E+02,1.83E-16
1.01E+02,1.82E-16
1.02E+02,1.80E-16
1.02E+02,1.77E-16
1.02E+02,1.75E-16
1.03E+02,1.73E-16
1.03E+02,1.71E-16
1.03E+02,1.70E-16
1.04E+02,1.70E-16
1.04E+02,1.69E-16
1.04E+02,1.68E-16
1.05E+02,1.67E-16
1.05E+02,1.67E-16
1.06E+02,1.66E-16
1.06E+02,1.65E-16
1.06E+02,1.65E-16
1.07E+02,1.65E-16
1.07E+02,1.64E-16
1.07E+02,1.62E-16
1.08E+02,1.60E-16
1.08E+02,1.58E-16
1.08E+02,1.57E-16
1.09E+02,1.56E-16
1.09E+02,1.55E-16
1.10E+02,1.54E-16
1.10E+02,1.53E-16
1.10E+02,1.52E-16
1.11E+02,1.50E-16
1.11E+02,1.48E-16
1.11E+02,1.47E-16
1.12E+02,1.47E-16
1.12E+02,1.46E-16
1.12E+02,1.45E-16
1.13E+02,1.44E-16
1.13E+02,1.43E-16
1.13E+02,1.42E-16
1.14E+02,1.42E-16
1.14E+02,1.41E-16
1.15E+02,1.40E-16
1.15E+02,1.39E-16
1.15E+02,1.38E-16
1.16E+02,1.37E-16
1.16E+02,1.35E-16
1.16E+02,1.33E-16
1.17E+02,1.31E-16
1.17E+02,1.30E-16
1.17E+02,1.28E-16
1.18E+02,1.26E-16
1.18E+02,1.24E-16
1.18E+02,1.23E-16
1.19E+02,1.21E-16
1.19E+02,1.20E-16
1.19E+02,1.19E-16
1.20E+02,1.18E-16
1.20E+02,1.17E-16
1.20E+02,1.16E-16
1.21E+02,1.15E-16
1.21E+02,1.14E-16
1.22E+02,1.13E-16
1.22E+02,1.12E-16
1.22E+02,1.11E-16
1.23E+02,1.10E-16
1.23E+02,1.08E-16
1.23E+02,1.07E-16
1.24E+02,1.06E-16
1.24E+02,1.05E-16
1.24E+02,1.04E-16
1.25E+02,1.04E-16
1.25E+02,1.03E-16
1.25E+02,1.02E-16
1.26E+02,1.01E-16
1.26E+02,9.95E-17
1.26E+02,9.85E-17
1.27E+02,9.78E-17
1.27E+02,9.73E-17
1.27E+02,9.67E-17
1.28E+02,9.61E-17
1.28E+02,9.52E-17
1.28E+02,9.43E-17
1.29E+02,9.35E-17
1.29E+02,9.30E-17
1.29E+02,9.27E-17
1.30E+02,9.25E-17
1.30E+02,9.23E-17
1.30E+02,9.18E-17
1.31E+02,9.11E-17
1.31E+02,9.01E-17
1.31E+02,8.91E-17
1.32E+02,8.81E-17
1.32E+02,8.73E-17
1.32E+02,8.66E-17
1.33E+02,8.59E-17
1.33E+02,8.51E-17
1.33E+02,8.43E-17
1.34E+02,8.34E-17
1.34E+02,8.27E-17
1.34E+02,8.21E-17
1.34E+02,8.16E-17
1.35E+02,8.14E-17
1.35E+02,8.12E-17
1.35E+02,8.09E-17
1.36E+02,8.04E-17
1.36E+02,7.98E-17
1.36E+02,7.92E-17
1.37E+02,7.85E-17
1.37E+02,7.79E-17
