#2.5eV differential cross sections for H-H2 elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
6.80E+01,2.84E-16
6.83E+01,2.80E-16
6.87E+01,2.76E-16
6.90E+01,2.72E-16
6.94E+01,2.70E-16
6.98E+01,2.69E-16
7.01E+01,2.67E-16
7.05E+01,2.65E-16
7.08E+01,2.62E-16
7.12E+01,2.59E-16
7.16E+01,2.58E-16
7.19E+01,2.58E-16
7.23E+01,2.60E-16
7.26E+01,2.61E-16
7.30E+01,2.61E-16
7.34E+01,2.62E-16
7.37E+01,2.64E-16
7.41E+01,2.67E-16
7.44E+01,2.71E-16
7.48E+01,2.74E-16
7.52E+01,2.76E-16
7.55E+01,2.78E-16
7.59E+01,2.79E-16
7.63E+01,2.79E-16
7.66E+01,2.80E-16
7.70E+01,2.81E-16
7.73E+01,2.81E-16
7.77E+01,2.80E-16
7.81E+01,2.78E-16
7.84E+01,2.75E-16
7.88E+01,2.71E-16
7.92E+01,2.67E-16
7.95E+01,2.61E-16
7.99E+01,2.55E-16
8.03E+01,2.50E-16
8.06E+01,2.45E-16
8.10E+01,2.40E-16
8.14E+01,2.35E-16
8.17E+01,2.30E-16
8.21E+01,2.25E-16
8.25E+01,2.21E-16
8.28E+01,2.17E-16
8.32E+01,2.13E-16
8.36E+01,2.10E-16
8.39E+01,2.06E-16
8.43E+01,2.01E-16
8.47E+01,1.96E-16
8.50E+01,1.91E-16
8.54E+01,1.87E-16
8.58E+01,1.84E-16
8.61E+01,1.81E-16
8.65E+01,1.77E-16
8.69E+01,1.73E-16
8.72E+01,1.69E-16
8.76E+01,1.65E-16
8.80E+01,1.62E-16
8.83E+01,1.59E-16
8.87E+01,1.57E-16
8.91E+01,1.54E-16
8.94E+01,1.52E-16
8.98E+01,1.50E-16
9.02E+01,1.49E-16
9.06E+01,1.48E-16
9.09E+01,1.48E-16
9.13E+01,1.47E-16
9.17E+01,1.46E-16
9.20E+01,1.45E-16
9.24E+01,1.43E-16
9.28E+01,1.40E-16
9.31E+01,1.38E-16
9.35E+01,1.36E-16
9.39E+01,1.33E-16
9.42E+01,1.31E-16
9.46E+01,1.28E-16
9.50E+01,1.26E-16
9.53E+01,1.23E-16
9.57E+01,1.21E-16
9.61E+01,1.18E-16
9.64E+01,1.15E-16
9.68E+01,1.13E-16
9.72E+01,1.11E-16
9.75E+01,1.10E-16
9.79E+01,1.08E-16
9.83E+01,1.07E-16
9.86E+01,1.07E-16
9.90E+01,1.06E-16
9.94E+01,1.06E-16
9.97E+01,1.06E-16
1.00E+02,1.05E-16
1.00E+02,1.04E-16
1.01E+02,1.02E-16
1.01E+02,1.00E-16
1.02E+02,9.87E-17
1.02E+02,9.71E-17
1.02E+02,9.55E-17
1.03E+02,9.41E-17
1.03E+02,9.29E-17
1.03E+02,9.24E-17
1.04E+02,9.23E-17
1.04E+02,9.25E-17
1.04E+02,9.26E-17
1.05E+02,9.25E-17
1.05E+02,9.23E-17
1.06E+02,9.22E-17
1.06E+02,9.23E-17
1.06E+02,9.25E-17
1.07E+02,9.26E-17
1.07E+02,9.24E-17
1.07E+02,9.22E-17
1.08E+02,9.19E-17
1.08E+02,9.16E-17
1.08E+02,9.12E-17
1.09E+02,9.06E-17
1.09E+02,8.96E-17
1.10E+02,8.81E-17
1.10E+02,8.65E-17
1.10E+02,8.51E-17
1.11E+02,8.42E-17
1.11E+02,8.38E-17
1.11E+02,8.37E-17
1.12E+02,8.39E-17
1.12E+02,8.42E-17
1.12E+02,8.48E-17
1.13E+02,8.56E-17
1.13E+02,8.65E-17
1.13E+02,8.71E-17
1.14E+02,8.73E-17
1.14E+02,8.72E-17
1.15E+02,8.68E-17
1.15E+02,8.63E-17
1.15E+02,8.59E-17
1.16E+02,8.53E-17
1.16E+02,8.46E-17
1.16E+02,8.38E-17
1.17E+02,8.30E-17
1.17E+02,8.25E-17
1.17E+02,8.21E-17
1.18E+02,8.18E-17
1.18E+02,8.13E-17
1.18E+02,8.07E-17
1.19E+02,8.00E-17
1.19E+02,7.94E-17
1.19E+02,7.91E-17
1.20E+02,7.92E-17
1.20E+02,7.94E-17
1.20E+02,7.96E-17
1.21E+02,7.99E-17
1.21E+02,8.01E-17
1.22E+02,8.05E-17
1.22E+02,8.10E-17
1.22E+02,8.16E-17
1.23E+02,8.20E-17
1.23E+02,8.18E-17
1.23E+02,8.11E-17
1.24E+02,7.99E-17
1.24E+02,7.85E-17
1.24E+02,7.73E-17
1.25E+02,7.63E-17
1.25E+02,7.54E-17
1.25E+02,7.45E-17
1.26E+02,7.34E-17
1.26E+02,7.22E-17
1.26E+02,7.12E-17
1.27E+02,7.06E-17
1.27E+02,7.02E-17
1.27E+02,6.99E-17
1.28E+02,6.97E-17
1.28E+02,6.92E-17
1.28E+02,6.86E-17
1.29E+02,6.81E-17
1.29E+02,6.79E-17
1.29E+02,6.80E-17
1.30E+02,6.83E-17
1.30E+02,6.87E-17
1.30E+02,6.89E-17
1.31E+02,6.89E-17
1.31E+02,6.87E-17
1.31E+02,6.83E-17
1.32E+02,6.78E-17
1.32E+02,6.72E-17
1.32E+02,6.64E-17
1.33E+02,6.53E-17
1.33E+02,6.40E-17
1.33E+02,6.25E-17
1.34E+02,6.10E-17
1.34E+02,5.97E-17
1.34E+02,5.87E-17
1.34E+02,5.79E-17
1.35E+02,5.74E-17
1.35E+02,5.71E-17
1.35E+02,5.70E-17
1.36E+02,5.69E-17
1.36E+02,5.70E-17
1.36E+02,5.71E-17
1.37E+02,5.71E-17
1.37E+02,5.71E-17
1.37E+02,5.69E-17
1.38E+02,5.66E-17
1.38E+02,5.63E-17
1.38E+02,5.59E-17
1.39E+02,5.54E-17
1.39E+02,5.49E-17
1.39E+02,5.44E-17
1.40E+02,5.38E-17
1.40E+02,5.32E-17
1.40E+02,5.27E-17
1.40E+02,5.23E-17
1.41E+02,5.18E-17
1.41E+02,5.14E-17
1.41E+02,5.08E-17
1.42E+02,5.01E-17
1.42E+02,4.92E-17
1.42E+02,4.83E-17
1.43E+02,4.74E-17
1.43E+02,4.66E-17
1.43E+02,4.59E-17
1.43E+02,4.54E-17
1.44E+02,4.48E-17
1.44E+02,4.43E-17
1.44E+02,4.38E-17
1.45E+02,4.34E-17
1.45E+02,4.31E-17
1.45E+02,4.29E-17
1.45E+02,4.29E-17
1.46E+02,4.30E-17
1.46E+02,4.30E-17
1.46E+02,4.28E-17
1.47E+02,4.24E-17
1.47E+02,4.19E-17
1.47E+02,4.13E-17
1.47E+02,4.08E-17
1.48E+02,4.03E-17
1.48E+02,3.99E-17
1.48E+02,3.94E-17
1.49E+02,3.90E-17
1.49E+02,3.84E-17
1.49E+02,3.78E-17
1.49E+02,3.72E-17
1.50E+02,3.66E-17
1.50E+02,3.62E-17
1.50E+02,3.60E-17
1.51E+02,3.58E-17
1.51E+02,3.55E-17
1.51E+02,3.53E-17
1.51E+02,3.49E-17
1.52E+02,3.44E-17
1.52E+02,3.39E-17
1.52E+02,3.35E-17
1.52E+02,3.31E-17
1.53E+02,3.29E-17
1.53E+02,3.27E-17
1.53E+02,3.26E-17
1.53E+02,3.24E-17
1.54E+02,3.22E-17
1.54E+02,3.20E-17
1.54E+02,3.17E-17
1.55E+02,3.15E-17
1.55E+02,3.14E-17
1.55E+02,3.14E-17
1.55E+02,3.14E-17
1.56E+02,3.13E-17
1.56E+02,3.12E-17
1.56E+02,3.10E-17
1.56E+02,3.06E-17
