#1.0eV differential cross sections for D-O elastic collisions from Zhang et al. 2009
#angle(deg),sigma(cm^2)
178.62451,1.98208E-14
179.11343,2.25183E-14
179.11343,2.46512E-14
179.11343,2.67841E-14
178.62451,2.86033E-14
178.46154,3.04226E-14
178.29857,3.312E-14
178.78748,3.53784E-14
178.13559,3.70094E-14
178.29857,3.87032E-14
178.46154,4.15261E-14
176.99478,4.24044E-14
177.64668,3.92678E-14
177.64668,3.53784E-14
177.64668,3.13635E-14

