# converted from elastic_16_O_2-3Adp.dat: wavenumber(1/cm) to energy(eV)
# E[eV],sigma[cm^2]
0.0054999997947539955,2.881499e-14
0.005600000489842279,2.867487e-14
0.005699999945088575,2.854044e-14
0.005800000640176858,2.840708e-14
0.0059000000954231545,2.827692e-14
0.0059999995506694525,2.815214e-14
0.006100000245757735,2.802817e-14
0.006199999701004032,2.7907170000000003e-14
0.006300000396092314,2.779139e-14
0.006399999851338612,2.767607e-14
0.006500000546426894,2.756345e-14
0.006600000001673192,2.745584e-14
0.00669999945691949,2.734859e-14
0.0068000001520077714,2.724377e-14
0.0068999996072540695,2.7141279999999998e-14
0.007000000302342351,2.704352e-14
0.007099999757588649,2.694568e-14
0.0072000004526769305,2.6852530000000002e-14
0.0072999999079232285,2.6761270000000003e-14
0.00740000060301151,2.6668860000000002e-14
0.007500000058257808,2.657858e-14
0.007599999513504106,2.6490390000000002e-14
0.0077000002085923875,2.640666e-14
0.007799999663838686,2.6322359999999996e-14
0.007900000358926967,2.6239729999999995e-14
0.007999999814173264,2.6158609999999997e-14
0.008100000509261547,2.608141e-14
0.008199999964507846,2.600324e-14
0.008300000659596126,2.592649e-14
0.008400000114842425,2.5851069999999998e-14
0.008499999570088722,2.5779439999999998e-14
0.008600000265177005,2.5706420000000002e-14
0.008699999720423303,2.563442e-14
0.008800000415511584,2.556344e-14
0.008899999870757881,2.5496059999999998e-14
0.009000000565846164,2.542719e-14
0.009100000021092462,2.535923e-14
0.009199999476338759,2.529205e-14
0.00930000017142704,2.5225540000000002e-14
0.009399999626673337,2.516237e-14
0.00950000032176162,2.509724e-14
0.009599999777007918,2.5032839999999998e-14
0.009700000472096201,2.4969130000000002e-14
0.009799999927342498,2.490874e-14
0.00990000062243078,2.484624e-14
0.010000000077677077,2.4784159999999998e-14
0.010999999589507991,2.419128e-14
0.01200000034118089,2.363293e-14
0.012999999853011803,2.311139e-14
0.014000000604684702,2.263397e-14
0.015000000116515616,2.220333e-14
0.01599999962834653,2.182857e-14
0.01700000038001943,2.150314e-14
0.017999999891850343,2.121617e-14
0.01900000064352324,2.096259e-14
0.020000000155354154,2.072536e-14
0.02099999966718507,2.049845e-14
0.022000000418857968,2.028015e-14
0.02299999993068888,2.005815e-14
0.02400000068236178,1.983685e-14
0.025000000194192695,1.9616589999999998e-14
0.025999999706023607,1.939919e-14
0.027000000457696505,1.9190209999999998e-14
0.02799999996952742,1.898223e-14
0.02900000072120032,1.8781569999999998e-14
0.030000000233031232,1.858858e-14
0.030999999744862148,1.840392e-14
0.03200000049653505,1.8227860000000002e-14
0.03300000000836596,1.805825e-14
0.03400000076003886,1.789587e-14
0.03500000027186977,1.773976e-14
0.035999999783700685,1.75887e-14
0.037000000535373584,1.744238e-14
0.0380000000472045,1.730055e-14
0.039000000798877395,1.7157640000000002e-14
0.04000000031070831,1.702315e-14
0.040999999822539226,1.689284e-14
0.042000000574212125,1.676666e-14
0.04300000008604304,1.664503e-14
0.044000000837715936,1.652851e-14
0.04500000034954685,1.6411289999999998e-14
0.04599999986137776,1.630369e-14
0.047000000613050666,1.6200819999999997e-14
0.04800000012488158,1.6102420000000002e-14
