# O-CO average energy loss per inelastic collision (eV)
# Rotational excitation only (internal energy transfer).
# <dE> = sum_{j'>0} sigma(0->j') * B*j'(j'+1) / sum_{j'>0} sigma(0->j')
# PES-averaged (1/3 weight), from Kumar et al. 2022 Table 2,
# interpolated to full energy grid.
# B(CO) = 1.93 cm^-1 = 2.392895e-04 eV
# Generated by compute_inelastic_tables_OCO.py
energy_eV,delta_E_eV
1.1,2.9553673479e-02
1.3,3.0442273450e-02
1.5,3.1330873421e-02
1.75,3.1981421026e-02
2,3.2631968630e-02
2.25,3.3282516234e-02
2.5,3.3933063838e-02
2.75,3.4583611443e-02
3,3.5234159047e-02
3.25,3.5632281623e-02
3.5,3.6030404199e-02
3.75,3.6428526776e-02
4,3.6826649352e-02
4.25,3.7224771928e-02
4.5,3.7622894504e-02
4.75,3.7622894504e-02
